region,value,lat,lon
Piemonte,2.74,45,8
Valle d'Aosta,3.44,45.75,7.25
Lombardia,2.85,45.667,9.5
Veneto,2.76,45.5,11.75
Friuli Venezia Giulia,3.67,46,13
Trentino,2.37,46.5,11.333
Liguria,3.02,44.5,8.833
Toscana,2.53,43.417,11
Umbria,3.73,43,12.5
Marche,2.96,43.5,13.25
Lazio,3.63,42,12.5
Abruzzo,2.08,42.25,13.75
Molise,2.37,41.633,14.483
Campania,2.24,41,14.5
Puglia,3.89,49.933,12.383
Basilicata,2.68,40.5,16.5
Calabria,2.52,39,16.5
Siclia,3.28,37.75,14.52
Sardegna,2.38,40,9
Emlia-Romagna,4.82,44.75,11
